zone,rack,pipe_number,date,param,value,unit,censored,date_numeric,location,series
1,1,1,2018-12-17,total alkalinity,21,Total as CaCO3 mg/L,none,-714,z1.r1,z1.r1.p1
1,1,1,2018-12-17,dissolved chloride,8.3,Cl- mg/L,none,-714,z1.r1,z1.r1.p1
1,1,1,2018-12-17,orthophosphate,0.18,P mg/L,none,-714,z1.r1,z1.r1.p1
1,1,1,2018-12-17,dissolved sulphate,27,SO4 mg/L,none,-714,z1.r1,z1.r1.p1
1,1,1,2018-12-17,total aluminum,13,Al ug/L,none,-714,z1.r1,z1.r1.p1
1,1,1,2018-12-17,total iron,25,Fe ug/L,none,-714,z1.r1,z1.r1.p1
1,1,1,2018-12-17,total lead,79,Pb ug/L,none,-714,z1.r1,z1.r1.p1
1,1,1,2018-12-17,total manganese,5.3,Mn ug/L,none,-714,z1.r1,z1.r1.p1
1,1,1,2018-12-17,total zinc,160,Zn ug/L,none,-714,z1.r1,z1.r1.p1
1,1,1,2019-01-25,total alkalinity,17,Total as CaCO3 mg/L,none,-675,z1.r1,z1.r1.p1
1,1,1,2019-01-25,dissolved chloride,8.9,Cl- mg/L,none,-675,z1.r1,z1.r1.p1
1,1,1,2019-01-25,orthophosphate,0.2,P mg/L,none,-675,z1.r1,z1.r1.p1
1,1,1,2019-01-25,dissolved sulphate,30,SO4 mg/L,none,-675,z1.r1,z1.r1.p1
1,1,1,2019-01-25,total aluminum,21,Al ug/L,none,-675,z1.r1,z1.r1.p1
1,1,1,2019-01-25,total iron,25,Fe ug/L,none,-675,z1.r1,z1.r1.p1
1,1,1,2019-01-25,total lead,68,Pb ug/L,none,-675,z1.r1,z1.r1.p1
1,1,1,2019-01-25,total manganese,3,Mn ug/L,none,-675,z1.r1,z1.r1.p1
1,1,1,2019-01-25,total zinc,110,Zn ug/L,none,-675,z1.r1,z1.r1.p1
1,1,1,2019-02-19,total alkalinity,17,Total as CaCO3 mg/L,none,-650,z1.r1,z1.r1.p1
1,1,1,2019-02-19,dissolved chloride,9.5,Cl- mg/L,none,-650,z1.r1,z1.r1.p1
1,1,1,2019-02-19,orthophosphate,0.19,P mg/L,none,-650,z1.r1,z1.r1.p1
1,1,1,2019-02-19,dissolved sulphate,32,SO4 mg/L,none,-650,z1.r1,z1.r1.p1
1,1,1,2019-02-19,total aluminum,12,Al ug/L,none,-650,z1.r1,z1.r1.p1
1,1,1,2019-02-19,total iron,25,Fe ug/L,none,-650,z1.r1,z1.r1.p1
1,1,1,2019-02-19,total lead,91,Pb ug/L,none,-650,z1.r1,z1.r1.p1
1,1,1,2019-02-19,total manganese,1,Mn ug/L,none,-650,z1.r1,z1.r1.p1
1,1,1,2019-02-19,total zinc,140,Zn ug/L,none,-650,z1.r1,z1.r1.p1
1,1,1,2019-02-19,collected volume,230,ml,none,-650,z1.r1,z1.r1.p1
1,1,1,2019-03-12,total alkalinity,18,Total as CaCO3 mg/L,none,-629,z1.r1,z1.r1.p1
1,1,1,2019-03-12,dissolved chloride,8.1,Cl- mg/L,none,-629,z1.r1,z1.r1.p1
1,1,1,2019-03-12,orthophosphate,0.21,P mg/L,none,-629,z1.r1,z1.r1.p1
1,1,1,2019-03-12,dissolved sulphate,30,SO4 mg/L,none,-629,z1.r1,z1.r1.p1
1,1,1,2019-03-12,total aluminum,12,Al ug/L,none,-629,z1.r1,z1.r1.p1
1,1,1,2019-03-12,total iron,25,Fe ug/L,none,-629,z1.r1,z1.r1.p1
1,1,1,2019-03-12,total lead,57,Pb ug/L,none,-629,z1.r1,z1.r1.p1
1,1,1,2019-03-12,total manganese,1,Mn ug/L,none,-629,z1.r1,z1.r1.p1
