zone,rack,pipe_number,date,param,value,unit,censored,date_numeric,location,series
1,1,1,2018-12-17,total lead,79,Pb ug/L,none,-714,z1.r1,z1.r1.p1
1,1,1,2019-01-25,total lead,68,Pb ug/L,none,-675,z1.r1,z1.r1.p1
1,1,1,2019-02-19,total lead,91,Pb ug/L,none,-650,z1.r1,z1.r1.p1
1,1,1,2019-03-12,total lead,57,Pb ug/L,none,-629,z1.r1,z1.r1.p1
1,1,1,2019-04-17,total lead,80,Pb ug/L,none,-593,z1.r1,z1.r1.p1
1,1,1,2019-05-06,total lead,160,Pb ug/L,none,-574,z1.r1,z1.r1.p1
1,1,1,2019-06-19,total lead,120,Pb ug/L,none,-530,z1.r1,z1.r1.p1
1,1,1,2019-07-26,total lead,140,Pb ug/L,none,-493,z1.r1,z1.r1.p1
1,1,1,2019-08-19,total lead,100,Pb ug/L,none,-469,z1.r1,z1.r1.p1
1,1,1,2019-09-17,total lead,93,Pb ug/L,none,-440,z1.r1,z1.r1.p1
1,1,1,2019-10-23,total lead,66,Pb ug/L,none,-404,z1.r1,z1.r1.p1
1,1,1,2019-11-22,total lead,47,Pb ug/L,none,-374,z1.r1,z1.r1.p1
1,1,1,2019-12-18,total lead,52,Pb ug/L,none,-348,z1.r1,z1.r1.p1
1,1,1,2020-01-24,total lead,46,Pb ug/L,none,-311,z1.r1,z1.r1.p1
1,1,1,2020-02-14,total lead,36,Pb ug/L,none,-290,z1.r1,z1.r1.p1
1,1,1,2020-03-20,total lead,91,Pb ug/L,none,-255,z1.r1,z1.r1.p1
1,1,1,2020-04-15,total lead,210,Pb ug/L,none,-229,z1.r1,z1.r1.p1
1,1,1,2020-05-12,total lead,160,Pb ug/L,none,-202,z1.r1,z1.r1.p1
1,1,1,2020-06-16,total lead,68,Pb ug/L,none,-167,z1.r1,z1.r1.p1
1,1,1,2020-07-21,total lead,66,Pb ug/L,none,-132,z1.r1,z1.r1.p1
1,1,1,2020-08-18,total lead,280,Pb ug/L,none,-104,z1.r1,z1.r1.p1
1,1,1,2020-09-14,total lead,64,Pb ug/L,none,-77,z1.r1,z1.r1.p1
1,1,1,2020-10-21,total lead,130,Pb ug/L,none,-40,z1.r1,z1.r1.p1
1,1,1,2020-11-17,total lead,59,Pb ug/L,none,-13,z1.r1,z1.r1.p1
1,1,1,2020-12-14,total lead,75,Pb ug/L,none,14,z1.r1,z1.r1.p1
1,1,1,2021-01-12,total lead,44,Pb ug/L,none,43,z1.r1,z1.r1.p1
1,1,1,2021-02-17,total lead,120,Pb ug/L,none,79,z1.r1,z1.r1.p1
