date,location,litre,round,value,censored,private_service,public_service,sample
2021-05-30,A,Litre 1,1_before,1.4,none,Lead,Copper,A.Litre 1
2022-05-17,A,Litre 1,2_after,0.84,none,Lead,Copper,A.Litre 1
2021-05-30,A,Litre 2,1_before,2,none,Lead,Copper,A.Litre 2
2022-05-17,A,Litre 2,2_after,1.2,none,Lead,Copper,A.Litre 2
2021-05-30,A,Litre 3,1_before,1.5,none,Lead,Copper,A.Litre 3
2022-05-17,A,Litre 3,2_after,0.88,none,Lead,Copper,A.Litre 3
2021-05-30,A,Litre 4,1_before,1.7,none,Lead,Copper,A.Litre 4
2022-05-17,A,Litre 4,2_after,0.94,none,Lead,Copper,A.Litre 4
2021-05-30,A,Flushed,1_before,0.75,none,Lead,Copper,A.Flushed
2022-05-17,A,Flushed,2_after,0.5,left,Lead,Copper,A.Flushed
2021-06-07,B,Litre 1,1_before,0.5,left,Lead,Copper,B.Litre 1
2022-05-18,B,Litre 1,2_after,0.5,left,Lead,Copper,B.Litre 1
2021-06-07,B,Litre 2,1_before,0.5,left,Lead,Copper,B.Litre 2
2022-05-18,B,Litre 2,2_after,0.5,left,Lead,Copper,B.Litre 2
2021-06-07,B,Litre 3,1_before,0.5,left,Lead,Copper,B.Litre 3
2022-05-18,B,Litre 3,2_after,0.5,left,Lead,Copper,B.Litre 3
2021-06-07,B,Litre 4,1_before,0.5,left,Lead,Copper,B.Litre 4
2022-05-18,B,Litre 4,2_after,0.5,left,Lead,Copper,B.Litre 4
2021-06-07,B,Flushed,1_before,0.5,left,Lead,Copper,B.Flushed
2022-05-18,B,Flushed,2_after,0.5,left,Lead,Copper,B.Flushed
2021-05-25,C,Litre 1,1_before,2.1,none,Lead,Copper,C.Litre 1
2022-05-17,C,Litre 1,2_after,1.8,none,Lead,Copper,C.Litre 1
2021-05-25,C,Litre 2,1_before,2,none,Lead,Copper,C.Litre 2
2022-05-17,C,Litre 2,2_after,2.2,none,Lead,Copper,C.Litre 2
2021-05-25,C,Litre 3,1_before,2.2,none,Lead,Copper,C.Litre 3
2022-05-17,C,Litre 3,2_after,2.1,none,Lead,Copper,C.Litre 3
2021-05-25,C,Litre 4,1_before,3.1,none,Lead,Copper,C.Litre 4
2022-05-17,C,Litre 4,2_after,1.9,none,Lead,Copper,C.Litre 4
2021-05-25,C,Flushed,1_before,1.7,none,Lead,Copper,C.Flushed
2022-05-17,C,Flushed,2_after,1.3,none,Lead,Copper,C.Flushed
2021-05-26,D,Litre 1,1_before,0.5,left,Lead,Copper,D.Litre 1
2022-06-07,D,Litre 1,2_after,0.5,left,Lead,Copper,D.Litre 1
