param,zone,med,lq,uq,unit
Conductivity,1,142,133,153,mS
Conductivity,2,87,82,93,mS
Dissolved Oxygen,1,10.03,9.114999999999998,11.805,mg L^-1^
Dissolved Oxygen,2,10.185,9.595,11.9875,mg L^-1^
ORP,1,516,435.5,624,mV
ORP,2,422,375,527,mV
Temperature,1,12.5,7.1,17.8,C
Temperature,2,10.5,6.525,17.4,C
Total Aluminum,1,11,9.2,13,ug L^-1^
Total Aluminum,2,38,23,70.75,ug L^-1^
Total Iron,1,25,25,25,ug L^-1^
Total Iron,2,25,25,25,ug L^-1^
Total Lead,1,59,36,95.5,ug L^-1^
Total Lead,2,85,26.75,190,ug L^-1^
Total Manganese,1,1,1,2.5,ug L^-1^
Total Manganese,2,3.2,2.3,4.925000000000001,ug L^-1^
Total Zinc,1,180,150,220,ug L^-1^
Total Zinc,2,190,160,210,ug L^-1^
Turbidity,1,0.14,0.1,0.17,NTU
Turbidity,2,0.15,0.1225,0.22,NTU
