phase,two_theta,intensity
Hydrocerussite,11.1902,0.02597
Hydrocerussite,19.8806,0.27367
Hydrocerussite,20.9222,0.27069
Hydrocerussite,22.489,3.5999999999999997e-4
Hydrocerussite,24.6713,0.74859
Hydrocerussite,27.1637,1
Hydrocerussite,32.9645,0.08732
Hydrocerussite,34.0146,0.34111
Hydrocerussite,34.1524,0.5386
Hydrocerussite,36.0469,0.09278
Hydrocerussite,36.1649,3.5e-4
Hydrocerussite,39.8298,0.01358
Hydrocerussite,40.3933,0.24346
Hydrocerussite,41.2795,5.8e-4
Hydrocerussite,42.5858,0.14859999999999998
Hydrocerussite,43.0066,0.18139
Hydrocerussite,44.1718,0.18252
Hydrocerussite,45.908,0.00381
Hydrocerussite,46.6137,0.01672
Hydrocerussite,48.1983,0.127
Hydrocerussite,48.9709,0.29301
Hydrocerussite,50.5897,4e-4
Hydrocerussite,53.4518,0.00398
Hydrocerussite,53.9025,0.16394999999999998
Hydrocerussite,54.1604,0.03197
Hydrocerussite,55.6801,0.03703
Hydrocerussite,56.0256,0.02521
Hydrocerussite,56.989,0.07271999999999999
Hydrocerussite,58.097,0.13321
Hydrocerussite,58.3515,0.00356
Hydrocerussite,58.4421,0.06996
Hydrocerussite,59.0385,0.03875999999999999
Hydrocerussite,60.3894,0.13184
Hydrocerussite,61.1419,0.04078
Hydrocerussite,62.3783,0.06008
Hydrocerussite,62.4568,0.01294
Hydrocerussite,65.6024,0.01122
Hydrocerussite,66.0088,0.01232
Hydrocerussite,66.3131,0.00960999999999999
Hydrocerussite,67.2712,0.03042
Hydrocerussite,69.1434,0.04242
Hydrocerussite,69.3747,0.00648
Lead,31.2699,1
Lead,36.2632,0.49981
Lead,52.221,0.33354
Lead,62.1377,0.37693
Lead,65.2332,0.10685
Chloropyromorphite,10.2302,0.00592999999999999
Chloropyromorphite,15.8161,0.00365
Chloropyromorphite,17.7668,0.09484
Chloropyromorphite,20.5431,0.28152999999999995
Chloropyromorphite,21.5112,0.44287
Chloropyromorphite,23.8726,0.01953
Chloropyromorphite,24.1948,0.06683
Chloropyromorphite,26.3293,0.30036
Chloropyromorphite,27.2878,0.35438
Chloropyromorphite,29.9164,0.91272
Chloropyromorphite,30.1784,1
Chloropyromorphite,31.0276,0.5345700000000001
Chloropyromorphite,31.944,0.00505
Chloropyromorphite,33.3885,0.00552
Chloropyromorphite,35.9797,0.02709
Chloropyromorphite,36.7865,0.01219999999999999
Chloropyromorphite,37.5024,0.00580999999999999
Chloropyromorphite,38.0694,1.7999999999999998e-4
Chloropyromorphite,38.1444,6e-4
Chloropyromorphite,39.5232,0.00592
Chloropyromorphite,39.729,0.0599
Chloropyromorphite,41.0042,0.15583000000000002
Chloropyromorphite,41.7864,0.06118
Chloropyromorphite,42.3738,0.00231
Chloropyromorphite,43.6414,4.2e-4
Chloropyromorphite,43.8312,0.37311
Chloropyromorphite,45.1313,0.20317
Chloropyromorphite,45.738,0.0968
Chloropyromorphite,46.2852,0.27238
Chloropyromorphite,47.4697,0.23418
Chloropyromorphite,48.2298,0.24442
Chloropyromorphite,48.7555,0.00275
Chloropyromorphite,48.8684,0.31101
Chloropyromorphite,49.5616,0.12738
Chloropyromorphite,49.8955,7.6e-4
Chloropyromorphite,50.748,2.1e-4
Chloropyromorphite,52.2962,3.9e-4
Chloropyromorphite,52.4034,0.00444
Chloropyromorphite,52.9471,2e-5
Chloropyromorphite,53.063,0.02092
Chloropyromorphite,53.4387,0.00645
Chloropyromorphite,54.1943,0.03634
Chloropyromorphite,54.5078,0.00529
Chloropyromorphite,54.6688,0.04638
Chloropyromorphite,55.197,0.0118
Chloropyromorphite,56.299,0.05685
Chloropyromorphite,56.7155,0.05794
Chloropyromorphite,56.7709,2e-4
Chloropyromorphite,57.4969,0.09919
Chloropyromorphite,57.7985,0.00393
Chloropyromorphite,59.0219,0.05289999999999999
Chloropyromorphite,59.5248,0.04083
Chloropyromorphite,59.6322,0.12994999999999998
Chloropyromorphite,59.9805,0.09228
Chloropyromorphite,60.9741,0.10492
Chloropyromorphite,61.1241,0.10709
Chloropyromorphite,62.0631,0.00123
Chloropyromorphite,62.1592,0.00523
Chloropyromorphite,62.7512,0.01076
Chloropyromorphite,63.7711,9.4e-4
Chloropyromorphite,64.2091,2.1e-4
Chloropyromorphite,64.6799,0.00547
Chloropyromorphite,65.2082,0.0022
Chloropyromorphite,65.6834,0.00244
Chloropyromorphite,66.0641,0.00176
Chloropyromorphite,66.1147,7.000000000000001e-5
Chloropyromorphite,66.2159,0.02132
Chloropyromorphite,66.7799,0.03279
Chloropyromorphite,67.0569,3.3e-4
Chloropyromorphite,67.2076,0.00222
Chloropyromorphite,67.6674,0.01994
Chloropyromorphite,68.0924,0.02592999999999999
Chloropyromorphite,69.0213,0.05374
Chloropyromorphite,69.0708,0.00424
Chloropyromorphite,69.7223,0.04125
Hydroxypyromorphite,10.34500324754928,0.005
Hydroxypyromorphite,15.798651943164115,0.011
Hydroxypyromorphite,17.9672937293444,0.054
Hydroxypyromorphite,20.775542505309616,0.2602
Hydroxypyromorphite,21.609913542974336,0.2592
Hydroxypyromorphite,23.947086922641553,0.061
Hydroxypyromorphite,23.947086922641553,0.061
Hydroxypyromorphite,26.147288201556112,0.2612
Hydroxypyromorphite,27.599147440324177,0.2872
Hydroxypyromorphite,30.099858636510213,1
Hydroxypyromorphite,30.099858636510213,1
Hydroxypyromorphite,31.38381316141261,0.3113
Hydroxypyromorphite,31.908090698487356,0.008
Hydroxypyromorphite,33.67691561191912,0.003
Hydroxypyromorphite,36.39648107405272,0.012
Hydroxypyromorphite,36.85734657687436,0.003
Hydroxypyromorphite,37.80845183555349,0.002
Hydroxypyromorphite,37.937976158931185,0.007
Hydroxypyromorphite,38.42614820818646,0.003
Hydroxypyromorphite,39.85964473038046,0.035
Hydroxypyromorphite,39.85964473038046,0.035
Hydroxypyromorphite,40.751082470629775,0.082
Hydroxypyromorphite,42.276361706952045,0.035
Hydroxypyromorphite,44.04006715298196,0.2022
Hydroxypyromorphite,44.04006715298196,0.2022
Hydroxypyromorphite,45.36422684656532,0.1111
Hydroxypyromorphite,46.1694002376744,0.17809999999999998
Hydroxypyromorphite,46.279305505565375,0.14709999999999998
Hydroxypyromorphite,47.96236876413523,0.1161
Hydroxypyromorphite,48.80444007501663,0.1261
Hydroxypyromorphite,49.02855856496075,0.088
Hydroxypyromorphite,49.16915230949934,0.2042
Hydroxypyromorphite,50.25086338495786,0.001
Hydroxypyromorphite,50.42328710265958,0.001
Hydroxypyromorphite,52.31992873042154,0.001
Hydroxypyromorphite,52.63307125013486,0.008
Hydroxypyromorphite,52.76683482802344,0.006
Hydroxypyromorphite,53.48755530618803,0.002
Hydroxypyromorphite,53.79637713229367,0.023
Hydroxypyromorphite,55.07167044728393,0.014
Hydroxypyromorphite,55.86845406236627,0.005
Hydroxypyromorphite,56.98633286812285,0.033
Hydroxypyromorphite,57.18777504562733,0.064
Hydroxypyromorphite,57.34501376110807,0.06
Hydroxypyromorphite,58.44488183614986,0.001
Hydroxypyromorphite,59.3772645725466,0.057
Hydroxypyromorphite,59.50103706711757,0.054
Hydroxypyromorphite,60.16745948201148,0.049
Hydroxypyromorphite,60.25962060365343,0.029
Hydroxypyromorphite,61.64018164325412,0.078
Hydroxypyromorphite,61.64018164325412,0.078
Hydroxypyromorphite,62.292674851442015,0.001
Hydroxypyromorphite,62.57348252891776,0.003
Hydroxypyromorphite,62.69344326953346,0.002
Hydroxypyromorphite,63.528663229806064,0.001
Hydroxypyromorphite,65.59228364937383,0.009
Hydroxypyromorphite,65.79544823087288,0.005
Hydroxypyromorphite,66.69760327584238,0.012
Hydroxypyromorphite,66.8421748798627,0.006
Hydroxypyromorphite,67.85161721015415,0.002
Hydroxypyromorphite,68.44409775394473,0.012
Hydroxypyromorphite,69.62255389255212,0.036
Hydroxypyromorphite,69.70710532115837,0.028
Hydroxypyromorphite,69.84832262759012,0.042
Litharge,17.642770527232663,0.04
Litharge,28.628425213141284,1
Litharge,31.8361315609946,0.3073
Litharge,35.722137747329626,0.1041
Litharge,36.62798982275152,0.001
Litharge,42.55429314258952,0.014
Litharge,45.64362416148392,0.1401
Litharge,48.59182552705004,0.2172
Litharge,49.3009012124792,0.007
Litharge,54.769360129961534,0.2562
Litharge,54.769360129961534,0.2562
Litharge,59.270769066574886,0.08
Litharge,59.90345470365747,0.084
Litharge,64.16625726934106,0.006
Litharge,64.77115682110242,0.01
Litharge,66.53228247249997,0.035
Litharge,69.43943528107336,0.002
Cerussite,23.362,0.15
Cerussite,24.2877,0.05
Cerussite,28.8555,1
Cerussite,29.6142,0.37
Cerussite,33.8449,0.21
Cerussite,35.9307,0.02
Cerussite,36.0463,0.02
Cerussite,39.5629,0.01
Cerussite,40.44,0.09
Cerussite,41.5293,0.19
Cerussite,42.1057,0.23
Cerussite,47.6812,0.05
Cerussite,49.7369,0.01
Cerussite,50.8876,0.21
Cerussite,52.8486,0.06
Cerussite,53.7042,0.07
Cerussite,55.0974,0.15
Cerussite,57.5226,0.15
Cerussite,57.9626,0.08
Cerussite,59.7555,0.03
Cerussite,61.4862,0.01
Cerussite,63.8247,0.01
Cerussite,65.9156,0.01
Cerussite,66.0697,0.01
Cerussite,66.5087,0.04
Cerussite,67.1605,0.01
Cerussite,68.5504,0.04
Cerussite,69.804,0.03
