# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=2124536
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.9
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=/Users/cwrs/Documents/GitHub/cct-monitoring-private/models/gam-brms-z1_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,zs_1_1.9,zs_1_1.10,zs_1_1.11,zs_1_1.12,zs_1_1.13,sds_1_1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2_1,zs_3_1.1,zs_3_1.2,zs_3_1.3,zs_3_1.4,zs_3_1.5,zs_3_1.6,zs_3_1.7,zs_3_1.8,zs_3_1.9,zs_3_1.10,zs_3_1.11,zs_3_1.12,zs_3_1.13,zs_3_1.14,zs_3_1.15,zs_3_1.16,zs_3_1.17,zs_3_1.18,zs_3_1.19,zs_3_1.20,zs_3_1.21,zs_3_1.22,zs_3_1.23,zs_3_1.24,zs_3_1.25,zs_3_1.26,zs_3_1.27,zs_3_1.28,zs_3_1.29,zs_3_1.30,zs_3_1.31,zs_3_1.32,zs_3_1.33,zs_3_1.34,zs_3_1.35,zs_3_1.36,zs_3_1.37,zs_3_1.38,zs_3_1.39,zs_3_1.40,zs_3_1.41,zs_3_1.42,zs_3_1.43,zs_3_1.44,zs_3_1.45,zs_3_1.46,zs_3_1.47,zs_3_1.48,zs_3_1.49,zs_3_1.50,zs_3_1.51,zs_3_1.52,zs_3_1.53,zs_3_1.54,zs_3_1.55,zs_3_1.56,zs_3_1.57,zs_3_1.58,zs_3_1.59,zs_3_1.60,zs_3_1.61,zs_3_1.62,zs_3_1.63,zs_3_1.64,zs_3_2.1,zs_3_2.2,zs_3_2.3,zs_3_2.4,zs_3_2.5,zs_3_2.6,zs_3_2.7,zs_3_2.8,sds_3_1,sds_3_2,ar.1,sigma,nu,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_1_1.9,s_1_1.10,s_1_1.11,s_1_1.12,s_1_1.13,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,s_3_1.1,s_3_1.2,s_3_1.3,s_3_1.4,s_3_1.5,s_3_1.6,s_3_1.7,s_3_1.8,s_3_1.9,s_3_1.10,s_3_1.11,s_3_1.12,s_3_1.13,s_3_1.14,s_3_1.15,s_3_1.16,s_3_1.17,s_3_1.18,s_3_1.19,s_3_1.20,s_3_1.21,s_3_1.22,s_3_1.23,s_3_1.24,s_3_1.25,s_3_1.26,s_3_1.27,s_3_1.28,s_3_1.29,s_3_1.30,s_3_1.31,s_3_1.32,s_3_1.33,s_3_1.34,s_3_1.35,s_3_1.36,s_3_1.37,s_3_1.38,s_3_1.39,s_3_1.40,s_3_1.41,s_3_1.42,s_3_1.43,s_3_1.44,s_3_1.45,s_3_1.46,s_3_1.47,s_3_1.48,s_3_1.49,s_3_1.50,s_3_1.51,s_3_1.52,s_3_1.53,s_3_1.54,s_3_1.55,s_3_1.56,s_3_1.57,s_3_1.58,s_3_1.59,s_3_1.60,s_3_1.61,s_3_1.62,s_3_1.63,s_3_1.64,s_3_2.1,s_3_2.2,s_3_2.3,s_3_2.4,s_3_2.5,s_3_2.6,s_3_2.7,s_3_2.8,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.0201918
# Diagonal elements of inverse mass matrix:
# 0.00991208, 5.61063, 0.851824, 0.458597, 0.165311, 0.182288, 0.269207, 0.375977, 0.858554, 0.565662, 0.923128, 0.9086, 0.876557, 0.84071, 0.88362, 0.427283, 0.140695, 0.265812, 0.407102, 0.469334, 0.7225, 0.844177, 0.984001, 0.875078, 0.202878, 0.817265, 0.944925, 0.781777, 0.849568, 0.606083, 0.558075, 0.329301, 0.213466, 0.694123, 0.814025, 0.828359, 0.647545, 0.604089, 0.472908, 0.376573, 0.225245, 0.830104, 0.747893, 0.907515, 0.7157, 0.733966, 0.566682, 0.373817, 0.228412, 0.913681, 0.727669, 0.68471, 0.651192, 0.488628, 0.460754, 0.37394, 0.26963, 0.799511, 0.871593, 0.770248, 0.917831, 0.761526, 0.54827, 0.436931, 0.254138, 0.889025, 0.597536, 0.770819, 0.740241, 0.624947, 0.534368, 0.374219, 0.227421, 0.817586, 0.823196, 0.813747, 0.595376, 0.543454, 0.518821, 0.329639, 0.23377, 0.779688, 0.775828, 0.934763, 0.704261, 0.619674, 0.571428, 0.384171, 0.226175, 0.217922, 0.276938, 0.271916, 0.265562, 0.276242, 0.246201, 0.18255, 0.381131, 0.0481761, 0.0808874, 1.83075, 0.00796734, 0.0872986
-560.157,0.977978,0.0201918,8,255,0,602.636,3.98477,-0.122811,-0.10215,0.053232,0.297905,0.5653,-0.388647,-0.667682,1.91599,-0.0672627,-0.939753,-1.93957,-3.07891,-0.607817,0.0152722,4.30636,0.903197,-1.20513,-0.239654,0.897183,0.206855,-0.869399,0.614942,1.42498,0.04951,-1.23042,-1.15831,-0.0505542,1.30839,0.894185,-0.608025,0.407978,-1.02864,0.650905,0.164987,-1.18832,0.869315,-1.21635,0.732583,-1.75722,0.648347,-0.508619,-0.82402,-0.144009,1.70897,-1.34643,0.767887,2.53267,-0.441426,-1.13168,-0.222803,0.114989,-0.252657,1.75869,-0.617581,-0.782092,2.10103,-1.10192,-1.80181,-2.17509,0.778586,0.573764,0.556544,-0.0179457,0.0709188,-0.229515,-0.488885,0.657808,0.897859,0.615724,-1.53646,1.96142,-1.26176,0.498565,1.85975,-1.87165,0.492067,-1.60727,0.919747,-0.0275185,-1.69169,0.166453,-1.0775,-1.98489,-0.5699,-0.562596,1.45559,0.790775,-0.673667,-1.29677,-1.61083,-0.498489,0.663895,0.967637,0.784757,-0.462396,2.31837,0.715795,1.97043,0.00908224,0.425617,2.55442,-0.439893,0.229236,1.28288,2.43439,-1.67365,-2.87528,8.25093,-0.289657,-4.04691,-8.35248,-13.2589,-2.61748,0.0657674,0.0447173,-0.0596662,-0.0118653,0.0444195,0.0102414,-0.043044,0.0304458,0.0705508,-0.880729,-0.82911,-0.0361864,0.936538,0.640053,-0.435221,0.292028,-0.736298,0.465914,0.118097,-0.850591,0.622251,-0.870656,0.52438,-1.25781,0.464084,-0.364067,-0.58983,-0.103081,1.22327,-0.963768,0.54965,1.81288,-0.31597,-0.810053,-0.159482,0.0823088,-0.180851,1.25886,-0.442062,-0.559817,1.5039,-0.788751,-1.28973,-1.55692,0.557308,0.410698,0.398371,-0.0128455,0.0507634,-0.164286,-0.349942,0.470855,0.642683,0.440732,-1.09979,1.40398,-0.903162,0.35687,1.3312,-1.33972,0.352219,-1.15048,0.658351,-0.0196976,-1.2109,0.119146,-0.771273,-1.42078,-0.407932,-0.402703,1.0419,0.566033,-0.482208,-2.55519,-3.17402,-0.982238,1.30816,1.90666,1.54631,-0.911118,4.56818,-17.1148,3.98477
-558.149,0.999741,0.0201918,8,255,0,604.077,4.07974,0.311861,1.4255,-0.014747,0.28864,0.434631,-0.661335,-0.798415,0.87271,0.219178,-0.64159,-0.378591,-0.405826,-0.93839,1.13705,4.51982,0.684778,-1.00343,-0.357565,0.803658,0.288728,1.38393,-0.329402,-0.558696,0.0436865,0.97509,0.20888,-0.804383,-0.509331,0.519521,-1.04026,-0.303674,-0.239615,-1.36989,1.02968,-0.931417,0.80816,-0.62397,0.524285,-1.37906,0.279993,-0.457607,0.633374,1.5873,0.877352,-1.04991,0.329234,1.2396,-0.847675,0.00217002,-0.0582226,0.215915,0.710924,2.52423,0.250475,-0.900099,1.16455,-0.121441,-0.213492,1.39905,-0.448212,-0.852543,0.726562,0.972643,0.430758,0.658393,0.818085,-0.409482,-0.919485,0.651829,-2.23176,2.31236,-0.881212,0.651923,0.737561,-2.27678,-0.60707,-0.662495,0.626256,1.14547,-1.28597,-0.783796,-0.988625,0.449952,-0.853336,0.0729771,1.86572,0.629195,-0.580089,0.167181,-1.96772,-1.35163,1.04572,0.00101922,0.72295,-0.456124,0.751787,0.797091,2.13361,0.0010528,0.380338,2.03787,6.44299,-0.0666536,1.3046,1.96446,-2.98912,-3.60869,3.94449,0.990647,-2.89987,-1.71116,-1.83426,-4.24136,5.13928,0.0299155,-0.0438363,-0.0156207,0.035109,0.0126135,0.0604593,-0.0143904,-0.0244075,0.777236,0.166496,-0.641166,-0.405983,0.414106,-0.829181,-0.242056,-0.190995,-1.09193,0.820752,-0.742424,0.644177,-0.497361,0.417903,-1.09923,0.22318,-0.364755,0.504856,1.26523,0.699329,-0.836873,0.26243,0.988078,-0.675674,0.0017297,-0.0464087,0.172104,0.566671,2.01204,0.199651,-0.717461,0.928255,-0.0967991,-0.170172,1.11517,-0.357266,-0.679554,0.579136,0.775285,0.343354,0.524799,0.652089,-0.326394,-0.732913,0.519567,-1.77891,1.84316,-0.702407,0.519642,0.587904,-1.8148,-0.48389,-0.528069,0.499183,0.913041,-1.02503,-0.624757,-0.788024,0.358652,-0.680187,0.0581694,1.48715,0.501526,-0.462384,0.356699,-4.19835,-2.88385,2.23117,0.00217462,1.5425,-0.973192,1.60402,-17.5258,4.07974
-563.306,0.891822,0.0201918,8,255,0,617.121,4.02696,2.61889,-0.469611,1.40074,0.738138,1.53135,0.104316,-0.879754,1.68738,-0.43485,-1.06655,0.0411511,-0.134136,2.89135,1.93225,2.02854,0.548835,-1.12109,-0.953071,0.725054,-0.877223,-0.401676,0.599003,-0.663045,0.0484535,-2.93734,-1.45258,-1.09083,1.73251,0.593874,-1.18077,-0.0729438,-0.427254,0.720648,0.455569,-0.549545,0.981291,-0.571639,0.184779,-0.378557,-0.10588,1.1329,-1.59455,0.500305,0.0501672,-1.16185,1.13068,0.941964,-0.698511,1.23278,-0.793025,0.514865,0.259219,1.94015,-0.294761,0.0490484,0.481126,0.0541154,-0.34512,-1.17306,0.907119,-0.880046,0.928213,0.805705,-0.840569,0.132533,0.992335,-1.13718,0.496301,1.78113,-0.988963,0.78911,-1.23125,-0.705554,0.081478,-2.03834,-0.488738,0.123269,-0.279589,1.28617,-0.817737,0.102527,-2.06809,-1.96805,-0.55944,-1.46752,0.126947,1.20517,-0.221628,-0.792456,-1.082,-0.259429,0.294238,0.673757,0.355013,-0.410871,1.74868,1.35927,2.69289,0.0191282,0.453281,2.59404,-0.952624,2.84146,1.49734,3.10641,0.211609,-1.78461,3.42292,-0.88211,-2.16353,0.0834767,-0.272101,5.86522,3.91964,0.026593,-0.0543209,-0.0461796,0.0351314,-0.0425045,-0.0194626,0.0290238,-0.0321268,-3.99262,-1.97444,-1.48273,2.35494,0.807233,-1.60498,-0.09915,-0.580752,0.979553,0.619239,-0.746978,1.33384,-0.777009,0.251164,-0.514559,-0.14392,1.53992,-2.16742,0.680047,0.0681905,-1.57927,1.5369,1.28038,-0.949462,1.67568,-1.07793,0.699838,0.352347,2.63717,-0.400659,0.0666699,0.653978,0.0735572,-0.46911,-1.5945,1.23302,-1.19622,1.26169,1.09517,-1.14256,0.180147,1.34885,-1.54574,0.674605,2.42102,-1.34426,1.07261,-1.6736,-0.959035,0.11075,-2.77064,-0.664325,0.167556,-0.380036,1.74824,-1.11152,0.139361,-2.81108,-2.6751,-0.760427,-1.99474,0.172554,1.63815,-0.301251,-2.134,-2.91371,-0.698614,0.792351,1.81435,0.956012,-1.10643,4.70901,-17.082,4.02696
-553.492,0.992778,0.0201918,8,255,0,611.031,4.00228,-2.86233,-0.118266,-0.483447,0.113275,0.287289,-0.304488,-0.222153,2.07855,0.966584,1.81961,-0.708013,-2.60864,-1.67888,-1.43745,4.99034,0.456094,-1.34121,0.506228,0.94696,0.626134,-0.752583,-0.459186,1.305,0.0397439,3.44283,-0.611855,1.00827,0.0463337,0.678325,-0.872202,-0.97078,-0.262969,-1.19247,-0.686985,-1.81475,-0.753646,-0.250068,2.34348,-1.54928,0.485095,-0.614524,2.35094,0.36571,0.163257,-1.45609,0.35436,1.42761,-0.853702,-0.572944,1.94849,0.997929,-0.294149,0.128134,-0.249352,-1.12659,0.790371,-0.212146,-0.040798,-0.147353,-1.24496,-0.693935,2.21318,-0.0849846,-0.313029,-1.00744,-0.648188,0.928934,0.000333906,-1.67773,-0.424823,1.8614,-1.12756,0.079846,0.795315,1.01703,-0.179337,-0.477621,-0.256327,-0.954973,-1.06276,0.320587,-0.261291,0.165684,-0.213541,0.866098,1.54023,-0.516303,-0.811206,-0.259493,-1.99476,-0.776353,0.877431,1.10997,0.833003,-0.460706,2.24799,0.997177,1.63042,0.00671325,0.333256,1.49844,-0.590188,-2.41257,0.565283,1.43367,-1.5195,-1.10862,10.3727,4.82359,9.0805,-3.53323,-13.018,-8.37817,-7.17338,0.018127,-0.0533049,0.0201195,0.0376358,0.024885,-0.0299106,-0.0182498,0.0518656,3.43311,-0.610128,1.00543,0.0462029,0.67641,-0.86974,-0.96804,-0.262227,-1.1891,-0.685046,-1.80963,-0.751518,-0.249362,2.33687,-1.54491,0.483726,-0.612789,2.34431,0.364678,0.162796,-1.45198,0.35336,1.42358,-0.851293,-0.571327,1.94299,0.995112,-0.293319,0.127772,-0.248648,-1.12341,0.788139,-0.211547,-0.0406829,-0.146937,-1.24144,-0.691976,2.20693,-0.0847447,-0.312146,-1.0046,-0.646359,0.926312,0.000332963,-1.673,-0.423624,1.85615,-1.12438,0.0796207,0.79307,1.01416,-0.17883,-0.476273,-0.255603,-0.952277,-1.05976,0.319682,-0.260554,0.165216,-0.212938,0.863653,1.53588,-0.514846,-0.808916,-0.423081,-3.25229,-1.26578,1.43058,1.80972,1.35814,-0.751143,3.66516,-18.5299,4.00228
-560.82,0.890772,0.0201918,8,255,0,614.092,3.91551,-0.13081,-1.8365,0.215166,0.500661,0.524076,-0.690997,-0.476253,1.53284,0.52454,-0.166635,-0.468214,-1.59973,2.27508,1.08196,2.64266,0.51823,-0.781652,-0.347304,0.878485,-1.16174,-0.553534,0.299959,-1.42983,0.0552457,-2.04619,-0.941479,-1.32759,2.25275,1.72539,-1.41567,-0.598805,-0.928426,2.64199,1.19127,-0.0921479,0.255041,-0.398295,0.427798,-1.73971,0.815097,1.10472,-1.3211,1.01083,0.452561,-0.203572,0.57398,0.477451,-0.582389,1.51096,-1.02217,0.367196,-0.905235,0.789081,-0.360305,-0.527898,1.35329,-0.747006,-0.824112,-1.02457,1.27918,-0.234447,0.72944,-0.286165,-0.326465,0.149287,1.16327,-1.24737,0.0486611,2.26705,-1.07701,0.147566,-1.279,-0.433413,0.00657799,-2.36119,-1.45045,0.791758,0.386085,0.123728,-1.12324,-1.13148,-1.33495,-1.94264,-0.907897,-1.82317,0.31961,0.516502,-0.571697,-0.00389508,-1.21584,-0.498516,1.23995,0.80257,1.44203,0.0125653,1.47315,0.943497,2.179,0.00955284,0.404405,1.92423,-4.85323,0.56861,1.32308,1.38495,-1.82607,-1.25857,4.05077,1.38618,-0.440358,-1.23733,-4.22753,6.01225,2.85925,0.02863,-0.043183,-0.019187,0.0485325,-0.0641811,-0.0305804,0.0165714,-0.0789918,-1.93058,-0.888282,-1.25257,2.12547,1.6279,-1.33568,-0.56497,-0.875967,2.49271,1.12396,-0.0869413,0.24063,-0.37579,0.403626,-1.64141,0.769041,1.0423,-1.24645,0.953713,0.426989,-0.19207,0.541548,0.450474,-0.549482,1.42559,-0.964419,0.346448,-0.854086,0.744495,-0.339947,-0.498071,1.27682,-0.704798,-0.777547,-0.966676,1.20691,-0.2212,0.688225,-0.269996,-0.308019,0.140852,1.09754,-1.17689,0.0459116,2.13895,-1.01616,0.139228,-1.20673,-0.408924,0.00620632,-2.22777,-1.36849,0.747021,0.36427,0.116737,-1.05977,-1.06754,-1.25952,-1.83287,-0.856598,-1.72015,0.301551,0.487318,-0.539394,-0.00848737,-2.64932,-1.08626,2.70184,1.7488,3.14218,0.0273797,3.20999,-16.7039,3.91551
-556.551,0.990085,0.0201918,8,255,0,614.905,4.02161,0.656534,0.756848,0.284724,0.486216,0.683301,0.0589188,-0.541543,1.47833,0.0482305,1.66874,-0.126623,-1.22805,-1.84507,-0.779523,3.44484,0.452631,-1.64106,0.404338,0.471154,1.68113,-0.595268,-0.432051,2.15237,0.0319394,2.58234,-0.96294,1.48434,-0.0530741,0.28068,-1.43768,-0.562022,-0.0485599,-1.60788,-0.547613,-1.3135,0.197189,0.125889,1.42207,-0.817434,0.539586,-1.16131,1.30121,0.101907,0.570115,-1.52394,0.0499258,1.16792,0.0955121,-1.13595,1.65555,0.201324,-0.0513413,1.42443,-0.91368,-0.848564,1.26119,1.57326,0.609841,1.15301,-1.40905,-0.311571,1.52802,0.391846,0.0199114,-1.19353,-0.570159,0.51397,-0.133293,-1.34123,-0.935024,1.83625,-0.596586,0.0547867,1.4584,1.22769,0.551662,-0.859506,-1.01174,-0.322813,-0.154305,1.57633,-0.540004,0.229798,0.0947656,1.01514,1.112,0.241211,0.242015,-0.227115,-1.79493,-0.922241,0.640342,0.501339,0.609958,0.0605896,0.827623,1.36907,2.28169,0.0108327,0.403483,1.91592,2.60722,0.980831,1.67494,2.35386,0.202966,-1.86553,5.0926,0.166147,5.74854,-0.436197,-4.23044,-6.35599,-2.68533,0.0144568,-0.0524146,0.0129143,0.0150484,0.0536942,-0.0190125,-0.0137995,0.0687452,3.5354,-1.31833,2.03217,-0.0726622,0.384271,-1.96828,-0.769448,-0.0664819,-2.2013,-0.749721,-1.79827,0.269965,0.172352,1.94692,-1.11912,0.738731,-1.58991,1.78145,0.139517,0.780528,-2.08638,0.0683519,1.59897,0.130763,-1.55519,2.26657,0.275626,-0.0702898,1.95014,-1.25089,-1.16174,1.72666,2.15391,0.834915,1.57855,-1.92908,-0.426563,2.09197,0.536465,0.0272601,-1.63402,-0.780587,0.703662,-0.182488,-1.83623,-1.28011,2.51395,-0.816768,0.0750069,1.99665,1.68079,0.755265,-1.17672,-1.38514,-0.441954,-0.211255,2.1581,-0.739303,0.314609,0.129741,1.3898,1.5224,0.330235,0.331336,-0.518206,-4.09547,-2.10426,1.46106,1.1439,1.39173,0.138247,1.88838,-17.2216,4.02161
